SALE|20250516|1|1|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
SALE|20250517|1|1|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
SALE|20250517|1|1|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
SALE|20250517|2|2|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|YES|775.80
LEASE|20250517|3|3|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|15997.50|2239.65|18237.15|538.43
SALE|20250517|1.2|1.2|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
SALE|20250517|1.3|yes fi|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|YES|775.80
LEASE|20250517|2.2 l|lea|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|15997.50|2239.65|18237.15|538.43
SALE|20250517|1.6|1.6|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
LEASE|20250517|6|6|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|15997.50|2239.65|18237.15|538.43
SALE|20250517|t2|t2|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|YES|775.80
SALE|20250517|t3|t3|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
SALE|20250517|t4|g4|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|YES|775.80
SALE|20250517|t5|t5|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|YES|775.80
SALE|20250517|t7|t7|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
SALE|20250517|d1|1|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|YES|775.80
SALE|20250517|c1|1|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|1599.75|100.00|495.00|34189.75|NO|0.00
LEASE|20250517|q1|1|77777|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|15997.50|2239.65|18237.15|538.43
